name,orcid,field,h_index,total_publications,total_citations,avg_authors_per_paper,avg_author_position,avg_complexity,complexity_keyword_score,complexity_concept_score,complexity_n_works_analyzed,works_in_period,top_works,journals,from_year,to_year,KANON_C,KANON_A,KANON_M,KANON_R,KANON_J,KANON_Index,complexity_mesh_score,mesh_coverage
Paul M. Romer,0000-0002-5005-0154,Economics,44,119,51129,3.38,2.07,0.3688,0.27,0.5171,32,45,45,25,2006,2026,0.3,0.269,0.0553,0.044,0.075,0.8881,1.0,0.0222
Richard H. Thaler,0000-0002-9910-6380,Economics,111,274,111464,4.04,2.66,0.268,0.1289,0.4766,60,114,114,50,2006,2026,0.3,0.2601,0.0402,0.1,0.15,0.9372,0.3333,0.0175
Oliver Hart,0000-0002-0044-2185,Economics,72,317,59567,2.67,1.59,0.368,0.2107,0.604,114,164,164,41,2005,2025,0.3,0.2762,0.0552,0.072,0.123,0.9266,0.0,0.0
Bengt Holmström,0000-0002-9776-7773,Economics,56,108,43687,7.09,4.12,0.2517,0.1077,0.4677,24,33,33,16,2006,2026,0.3,0.2382,0.0378,0.056,0.048,0.857,0.0,0.0
Angus Deaton,0000-0002-1195-6489,Economics,109,664,67491,1.92,1.48,0.3364,0.2482,0.4688,149,200,200,57,2006,2026,0.3,0.2778,0.0505,0.1,0.15,0.9494,0.6259,0.095
Jean Tirole,0000-0002-2245-0803,Economics,123,537,93781,2.34,1.98,0.2649,0.1236,0.4769,130,200,200,53,2006,2026,0.3,0.2704,0.0397,0.1,0.15,0.9415,0.0,0.0
Eugene F. Fama,,Economics,116,240,258862,2.02,1.07,0.2454,0.0982,0.4662,39,94,94,22,2005,2025,0.3,0.2839,0.0368,0.1,0.066,0.9085,0.0,0.0
Lars Peter Hansen,0000-0002-8916-8746,Economics,75,358,45210,3.25,1.9,0.3299,0.2059,0.5159,101,200,200,53,2006,2026,0.3,0.2715,0.0495,0.075,0.15,0.9353,0.8472,0.015
Robert J. Shiller,0000-0003-1352-3494,Economics,95,510,54154,2.36,1.86,0.2741,0.1385,0.4774,96,200,200,46,2006,2026,0.3,0.2721,0.0411,0.095,0.138,0.9354,0.0,0.0
Alvin E. Roth,0000-0002-0968-1816,Economics,101,470,42006,4.64,3.02,0.3839,0.2753,0.5468,140,200,200,74,2006,2026,0.3,0.2546,0.0576,0.1,0.15,0.9424,0.4529,0.19
Thomas J. Sargent,0000-0003-1801-1175,Economics,93,620,44963,3.12,2.26,0.3192,0.2018,0.4952,138,200,200,59,2006,2026,0.3,0.2661,0.0479,0.093,0.15,0.9401,0.5312,0.005
Christopher A. Sims,0000-0001-6695-0886,Economics,67,265,45396,2.89,2.28,0.3913,0.2904,0.5426,70,99,99,43,2006,2026,0.3,0.2658,0.0587,0.067,0.129,0.9239,0.6319,0.0303
Peter A. Diamond,0000-0002-0957-2015,Economics,62,340,24639,5.15,2.69,0.2977,0.1671,0.4937,99,136,136,44,2006,2026,0.3,0.2596,0.0447,0.062,0.132,0.9138,0.4563,0.0147
Christopher A. Pissarides,0000-0002-5059-7791,Economics,58,315,22629,3.04,2.36,0.3107,0.199,0.4783,80,118,118,37,2006,2026,0.3,0.2647,0.0466,0.058,0.111,0.9055,0.0,0.0
Paul Krugman,0000-0001-8364-0845,Economics,111,717,79768,1.81,1.08,0.2406,0.0898,0.4668,64,200,200,68,2006,2026,0.3,0.2837,0.0361,0.1,0.15,0.9457,0.0,0.0
