name,orcid,field,group,h_index,total_citations,total_publications,avg_authors_per_paper,avg_author_position,n_journals,S_text_raw,S_concepts_raw,mesh_coverage,works_analyzed,C,A,S,J,C_saturating,J_saturating,KANON,KANON_global,rank_KANON,rank_h,rank_shift_vs_h,data_quality,rank_KANON_clean,rank_h_clean,KANON_pctl,KANON_global_pctl,rank_shift_clean
R.H. Oppermann,0000-0002-3722-3000,Chemistry,Elite (matched),39,7367,395,3.67,2.67,3,0.3333,0.7555,0.333,2,0.0294,0.5866,0.6711,0.0059,0.7367,0.06,60.242,53.792,25,158,133,under-collected,,,,,
Sean R. Eddy,0000-0001-6676-4706,Chemistry,Elite (matched),89,142553,198,6.18,4.93,28,0.5024,0.8505,0.422,91,0.7,0.4363,0.7809,0.1794,1.0,0.56,60.132,57.516,26,94,68,ok,25.0,94.0,85.71428571428571,88.09523809523809,69.0
Jack D. Dunitz,0000-0001-5411-2452,Chemistry,Elite (matched),77,21792,370,6.07,2.32,17,0.3,0.836,0.036,23,0.1706,0.5146,0.7288,0.0529,1.0,0.34,59.971,53.976,27,111,84,ok,26.0,111.0,85.11904761904762,78.57142857142857,85.0
Minoru Kanehisa,0000-0001-6123-540X,Chemistry,Elite (matched),89,173091,410,5.86,4.65,51,0.3492,0.8392,0.324,122,0.8471,0.4516,0.7412,0.4559,1.0,1.0,59.884,59.291,28,94,66,ok,27.0,94.0,84.52380952380952,94.04761904761905,67.0
Douglas M. Templeton,0000-0003-0693-662X,Chemistry,Elite (matched),51,13901,6023,3.29,2.15,21,0.1678,0.7303,0.035,161,0.1235,0.6244,0.6178,0.0824,1.0,0.42,59.865,55.273,29,142,113,ok,28.0,141.0,83.92857142857143,82.14285714285714,113.0
W.E. Moerner,0000-0002-4628-1155,Chemistry,Nobel,101,40490,670,5.75,5.11,75,0.4367,0.8389,0.485,156,0.3,0.4405,0.7585,0.8029,1.0,1.0,59.776,54.454,30,79,49,ok,29.0,79.0,83.33333333333334,80.35714285714286,50.0
David W.C. MacMillan,0000-0001-6447-0587,Chemistry,Nobel,126,72534,463,5.12,4.86,28,0.2566,0.882,0.125,169,0.3941,0.4638,0.7569,0.1794,1.0,0.56,59.644,56.236,31,60,29,ok,30.0,60.0,82.73809523809523,84.52380952380952,30.0
Frances H. Arnold,0000-0002-4027-364X,Chemistry,Nobel,139,71002,920,5.95,5.14,65,0.4329,0.8377,0.555,147,0.3882,0.4351,0.7567,0.7294,1.0,1.0,59.464,54.845,32,47,15,ok,31.0,47.0,82.14285714285714,80.95238095238095,16.0
Desmond G. Higgins,0000-0002-3952-3285,Chemistry,Elite (matched),66,147178,321,7.11,5.45,51,0.4994,0.8359,0.325,90,0.7471,0.4039,0.7686,0.4559,1.0,1.0,58.705,56.466,33,123,90,ok,32.0,123.0,81.54761904761905,85.11904761904762,91.0
Bernard L. Feringa,0000-0003-0588-8435,Chemistry,Nobel,147,92177,1719,5.3,4.87,46,0.3076,0.8347,0.225,172,0.4294,0.4587,0.7293,0.3912,1.0,0.92,58.619,55.194,34,39,5,ok,33.0,39.0,80.95238095238095,81.54761904761905,6.0
